Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,Cho_0,RT_0,OB_0,AS_0,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
55,1,1,0,0,0,0,0,98,2,6,79,4.513999999999997,1.2199999999999993,23.91199999999998,2.0129999999999986,16,5,17,6,21,5,106,7,0,0,17,105,12.19999999999999,18,53,4.25,6,L,0.22586486486486484,0.24399999999999997,0.22558490566037734,0.28757142857142853
55,1,2,0,0,0,0,0,16,85,66,15,2.0739999999999985,5.7949999999999955,2.0129999999999986,4.208999999999997,7,17,8,12,7,30,9,16,0,0,19,112,19.214999999999986,19,88,4.75,6,L,0.22409473684210524,0.19316666666666665,0.22366666666666665,0.2630625
55,2,3,0,0,0,0,0,115,91,49,48,1.8909999999999987,0.5489999999999999,1.0979999999999994,0.427,8,4,3,3,10,4,3,3,0,0,14,56,24.09499999999998,20,110,3.5,6,L,0.21654999999999996,0.13724999999999998,0.366,0.14233333333333334
55,2,4,0,0,0,0,0,62,29,15,65,3.842999999999997,1.646999999999999,0.8539999999999996,21.959999999999983,13,5,3,15,16,5,3,90,0,0,19,73,12.93199999999999,17,57,4.75,6,L,0.2297945205479452,0.3293999999999999,0.2846666666666667,0.24399999999999997
55,3,5,0,0,0,0,0,2,105,3,33,0.9149999999999996,2.1349999999999985,6.648999999999995,14.395999999999988,3,10,15,15,3,12,40,63,0,0,19,51,10.857999999999992,15,46,4.75,6,L,0.24026530612244895,0.17791666666666667,0.16622499999999998,0.22850793650793647
55,3,6,0,0,0,0,0,23,18,42,14,0.305,6.465999999999995,0.122,0.122,1,16,1,1,1,24,1,1,0,0.5,41,46,24.33899999999998,20,112,5.75,6,L,0.21808849557522123,0.2694166666666666,0.122,0.122
55,4,7,0,0,0,0,0,73,41,68,3,0.9149999999999996,0.061,4.635999999999997,1.646999999999999,6,1,12,7,7,1,18,10,0,0,18,79,9.271999999999993,18,39,4.5,6,L,0.2214565217391304,0.061,0.25755555555555554,0.16469999999999999
55,4,8,0,0,0,0,0,28,24,91,100,0.488,0.488,0.7929999999999997,2.3789999999999982,1,4,3,7,1,4,3,10,0,0,16,23,20.434999999999985,17,102,4,6,L,0.20313592233009706,0.122,0.2643333333333333,0.23789999999999997
55,5,9,0,0,0,0,0,20,48,94,90,1.463999999999999,0.488,3.781999999999997,0.427,7,4,12,3,9,4,17,3,0,0,17,23,16.16499999999999,16,61,4.25,6,L,0.25184285714285715,0.122,0.2224705882352941,0.14233333333333334
55,5,10,0,0,0,0,0,84,99,1,26,2.683999999999998,1.463999999999999,3.537999999999997,2.1349999999999985,9,8,11,9,11,9,13,9,0,0,16,33,8.417999999999994,16,47,4,6,L,0.19141379310344828,0.16266666666666665,0.27215384615384614,0.23722222222222222
56,1,1,0,0,0,0,0,107,38,92,87,3.4159999999999973,0.5489999999999999,1.463999999999999,0.122,14,3,9,1,19,3,10,1,0,0,13,40,17.750999999999987,20,92,3.25,6,L,0.19069369369369368,0.183,0.1464,0.122
